,precision,recall,f1-score,support
0,0.71414088162537,0.7811044577511643,0.7461232098974663,22545.0
1,0.7572552877520905,0.6859294243450366,0.7198298031514472,22444.0
accuracy,0.7336237747004823,0.7336237747004823,0.7336237747004823,0.7336237747004823
macro avg,0.7356980846887302,0.7335169410481004,0.7329765065244567,44989.0
weighted avg,0.7356496889139987,0.7336237747004823,0.733006020784402,44989.0
