,precision,recall,f1-score,support
0,0.7151210004872502,0.7811931692171213,0.746698323193352,22545.0
1,0.7577230980796621,0.6873997504901087,0.7208503679476695,22444.0
accuracy,0.7344017426482029,0.7344017426482029,0.7344017426482029,0.7344017426482029
macro avg,0.7364220492834561,0.734296459853615,0.7337743455705108,44989.0
weighted avg,0.7363742285733178,0.7344017426482029,0.7338033598126569,44989.0
